z,n,hl
47,68,-4.419625360887743
47,69,-5.137078770917775
47,70,-5.636675227622331
47,71,-6.923618762007707
47,72,-7.176587312201448
47,73,-7.40890149549597
47,74,-7.606712004244888
47,75,-7.775350934900183
47,76,-8.024590342859113
47,77,-8.21777323968764
47,78,-8.297409482614917
47,79,-8.782803263300568
47,80,-8.461380108994744
47,81,-8.735378613372431
47,82,-8.836048775253794
47,83,-8.875557316537467
47,84,-8.954738562585092
47,85,-9.051648575593148
48,46,-13.617993014654576
48,47,-8.993656628615462
48,48,-7.485969382230196
48,49,-7.051648575593148
48,50,-6.530323658381433
48,51,-6.294686624279443
48,52,-5.807725114812399
48,53,-5.587116448181507
48,54,-4.980292667057481
48,55,-4.857332496431268
48,56,-3.959479543395993
48,57,-3.976362373429048
48,59,-3.1295907495252253
48,61,0.10225509779007201
48,65,15.905544132887414
48,67,-2.2144751517475623
48,68,19.51880202401685
48,69,-3.546304759072344
48,70,-4.019087371495797
48,71,-5.290903076549316
48,72,-5.792942894651449
48,73,-6.368472838440362
48,74,-6.779475319951641
48,75,-7.176587312201448
48,76,-7.401896593927312
48,77,-7.666297694229131
48,78,-7.786999377894177
48,79,-7.930604882868373
48,80,-8.051648575593148
48,81,-8.311285886098904
48,82,-8.289291592392738
48,83,-8.666297694229131
48,84,-8.574527320873486
48,85,-8.742931751262876
48,86,-8.685893250292512
49,48,-8.94250410616808
49,49,-9.021685352215705
49,50,-7.007444913101096
49,51,-6.746758159115929
49,52,-6.319829659642198
49,53,-6.131450685909349
49,54,-5.685893250292512
49,55,-5.465382851448418
49,56,-5.015647397218388
49,57,-4.9282636670534705
49,58,-4.210110346345112
49,59,-3.957227362988787
49,60,-3.323515185803147
49,61,-3.2505390034007204
49,62,-2.1144064499560447
49,63,-4.548052425341864
49,65,-5.642077716552485
49,66,14.644726673606801
49,67,-6.349587494279988
49,68,-4.085171609736812
49,69,-6.799836602599349
49,70,-5.3404441148401185
49,71,-7.010255890434924
49,72,-6.135194627043224
49,73,-7.3227153478796865
49,74,-6.708521442902127
49,75,-7.004652012916925
49,76,-7.1258946039652615
49,77,-7.314115176117769
49,78,-7.461380108994744
49,79,-7.574527320873487
49,80,-7.712765396692814
49,81,-8.036408609036412
49,82,-8.051648575593148
49,83,-8.197776611271387
49,84,-8.281322662721461
49,85,-8.35267857125713
49,86,-8.494485233152725
49,87,-8.569387681221075
49,88,-8.685893250292512
50,49,-13.617993014654576
50,50,-7.426924599629243
50,51,-7.268357685557094
50,52,-6.919023010318558
50,53,-6.653708566921111
50,54,-6.180743271972607
50,55,-5.984258854275082
50,56,-5.438108766581756
50,57,-5.258257358652768
50,58,-4.707818131846552
50,59,-4.462976781682539
50,60,-3.324037613969
50,61,-4.172880651163902
50,63,-0.5012552743930565
50,71,-2.510658060469355
50,73,-0.45103035079740944
50,75,-1.578215830553644
50,76,5.362015920156555
50,77,-3.6202848114341615
50,78,-3.9492883856939436
50,79,-5.372350493503563
50,80,-5.150112416669827
50,81,-5.750618579929167
50,82,-5.900016100172253
50,83,-7.334453751150931
50,84,-7.4776173078654296
50,85,-7.786999377894177
50,86,-7.960987511862094
50,87,-8.220053005982539
50,88,-8.35267857125713
50,89,-8.38486325462853
51,52,-14.808610526906854
51,53,-7.855353930449181
51,54,-7.412446776260619
51,55,-7.720655356551724
51,56,-6.896746615607405
51,57,-6.629574887204392
51,58,-6.263278160027819
51,59,-6.1258946039652615
51,60,-5.623745343543668
51,61,-5.770452824914139
51,62,-4.896529522635175
51,63,-5.177829929592544
51,64,-4.2141503241468525
51,65,-4.521998269597302
51,66,-3.4953460748258616
51,67,-5.164352855784437
51,68,-2.360554447794763
51,69,-4.5195314593443445
51,71,-2.1271176489121992
51,73,-0.7826963731986502
51,74,0.44097051864824693
51,75,-1.47062590686079
51,76,-1.976832134947974
51,77,-2.9858555269628773
51,78,-3.3024203747949605
51,79,-4.124058260925264
51,80,-4.358361418587493
51,81,-5.275051153278127
51,82,-5.3514394991415815
51,83,-7.606712004244888
51,84,-7.273755910797319
51,85,-7.533604905909456
51,86,-7.845594093160025
51,87,-7.957227362988787
51,88,-8.530323658381432
51,89,-8.260760503806573
51,91,-8.77453073733458
52,52,-15.243534101832061
52,53,-13.706414917437113
52,54,-11.653708566921111
52,55,-10.007444913101095
52,56,-7.176587312201448
52,57,-6.855353930449181
52,58,-6.229293662717452
52,59,-6.213249297927594
52,60,-5.419625360887744
52,61,-5.490206435173451
52,62,-4.538811768606952
52,63,-4.957227362988787
52,64,-3.546304759072344
52,65,-3.9282636670534705
52,66,-1.784141614072831
52,67,-2.73702906942719
52,69,-1.279670751578412
52,71,16.964075911484517
52,75,-2.971692495295563
52,76,24.886778809311444
52,77,-3.8780461169411624
52,78,20.897915175429404
52,79,-4.3227153478796865
52,80,-2.0566003570442746
52,81,-4.623745343543668
52,82,-4.099479074776689
52,83,-6.220053005982539
52,84,-6.252554294636046
52,85,-7.1026072598396315
52,86,-7.35267857125713
52,87,-7.294686624279443
52,88,-7.957227362988787
52,91,-13.888146443845487
53,55,-8.94250410616808
53,56,-11.531258630716506
53,57,-7.67663852756735
53,58,-7.10086659826333
53,59,-6.975060140123803
53,60,-6.6792626713934995
53,61,-7.176587312201448
53,62,-5.606712004244888
53,63,-7.034913617949461
53,64,-5.374302382101086
53,65,-4.583934789395317
53,66,-4.439621989303997
53,67,-3.808965197797863
53,68,-3.6161682452393293
53,69,-5.1607487315156115
53,70,-2.821157686607883
53,71,-1.941532374462269
53,72,-0.7884552430062711
53,73,-1.4506943395760807
53,75,-4.322889100425274
53,76,7.196187736548196
53,77,-2.850485635415284
53,78,-1.6578369999759457
53,79,-3.581721416294801
53,80,-2.6238148362203346
53,81,-4.000496053145768
53,82,-3.1242782125541253
53,83,-5.577640556297629
53,84,-6.109640522570835
53,85,-6.702232273724938
53,86,-7.140871759934914
53,87,-7.5643081556918
53,88,-7.865338151355782
53,89,-8.152453632484729
53,90,-8.38486325462853
53,91,-14.021685352215705
53,92,-13.889212197710147
53,93,-8.525678753335669
54,54,-11.766412847112399
54,55,-9.38486325462853
54,56,-8.530323658381432
54,57,-7.629574887204392
54,58,-7.067442842776381
54,59,-7.06105604411498
54,60,-6.498806606935368
54,61,-6.243534101832062
54,62,-5.727954595293224
54,63,-5.713476771924601
54,64,-5.140871759934914
54,65,-4.957227362988787
54,66,-4.118595365223762
54,67,-4.117510983931542
54,68,-2.639308048747592
54,69,-3.624440771205319
54,70,14.204408066794887
54,71,-2.714617401554407
54,73,-1.0018362422054417
54,79,-1.8423404172020368
54,80,22.7637160777019
54,81,-2.9815579104342493
54,82,21.335745984828346
54,83,-5.138819432494077
54,84,-4.570205947090844
54,85,-5.900234943453227
54,86,-6.365267698565151
54,87,-7.260760503806573
54,88,-7.40890149549597
54,89,-7.790385706800655
54,90,-7.438108766581756
54,91,-8.224648757671687
54,92,-8.334453751150932
54,93,-8.498806606935368
54,94,-13.896746615607405
55,57,-10.808610526906854
55,58,-12.25083334057356
55,59,-7.742931751262876
55,60,-7.35267857125713
55,61,-7.653708566921111
55,62,-6.574527320873487
55,63,-6.35267857125713
55,64,-5.865338151355782
55,65,-5.711346132416953
55,66,-5.308474908765077
55,67,-6.172880651163902
55,68,-4.951278030475586
55,69,-6.008848127510533
55,70,-4.051338475985612
55,71,-5.505811508504026
55,72,-3.1466240888240056
55,73,-5.1595539729026685
55,74,-2.436540588149955
55,75,-4.2551237995781745
55,76,-1.5760139085504836
55,77,-1.7507178585858814
55,79,0.3152502005141472
55,80,6.362015920156555
55,81,-1.4480155678948885
55,82,1.4785659160585667
55,83,-4.2087719955728495
55,84,-4.753575622407228
55,85,-5.694667174600018
55,86,-6.103655015430825
55,87,-7.272464519771737
55,88,-7.245711021086336
55,89,-7.501420222538055
55,90,-7.730168505687754
55,91,-7.9909507352395375
55,92,-8.137078770917775
55,93,-8.334453751150932
55,94,-8.445728163451948
55,95,-8.574527320873486
55,96,-8.659957516198112
55,97,-8.799836602599349
56,58,-7.865338151355782
56,59,-7.845594093160025
56,60,-7.384863254628531
56,61,-7.255768558249073
56,62,-6.758443917441125
56,63,-6.7664128471124
56,64,-6.118595365223762
56,65,-6.0260501576181555
56,66,-5.430620745189207
56,67,-5.289291592392737
56,68,-4.6792626713934995
56,69,-5.202141416673837
56,70,-3.7206553565517244
56,71,-4.616851635595768
56,72,-2.1766865908581625
56,73,-3.59419924311992
56,75,-1.501595024102863
56,76,21.477409338858624
56,77,1.023581707175567
56,83,-3.801943691169403
56,84,-1.4567486187099017
56,85,-4.458916809199186
56,86,-4.6953494912869544
56,87,-6.337438604700393
56,88,-6.438108766581756
56,89,-6.864329336774636
56,90,-7.154414333250258
56,91,-7.54746908813945
56,92,-7.712055184789807
56,93,-7.962248164363838
56,94,-8.085506842854116
56,95,-8.276090135787785
56,96,-8.355791806681273
56,97,-8.43434861770845
56,98,-8.77453073733458
57,60,-9.127738744663631
57,63,-7.051648575593148
57,64,-6.774530737334579
57,65,-6.5643081556918
57,66,-6.268357685557094
57,67,-6.176587312201449
57,68,-5.6872316010647745
57,69,-5.7664128471124
57,70,-5.013085180453788
57,71,-5.006325596806492
57,72,-4.656197367324806
57,73,-4.781136103933106
57,74,-3.94980334490958
57,75,-3.2612628687924934
57,76,-3.350105260052517
57,77,-4.911095641916456
57,78,-2.6524694948055627
57,79,-4.726338203882087
57,80,4.778439334522606
57,81,11.013125308844135
57,83,-2.3373508201946884
57,84,-3.3492180391476234
57,85,-3.761136979578726
57,86,-4.568367012168668
57,87,-5.888146443845488
57,88,-6.104354926109152
57,89,-6.713476771924601
57,90,-6.890280573358174
57,91,-7.398436061817805
57,92,-7.4776173078654296
57,93,-7.727954595293224
57,94,-7.838890406865517
57,95,-8.024590342859113
57,96,-8.109640522570835
57,97,-8.291980730903518
57,98,-8.494485233152725
57,99,-8.574527320873486
58,63,-7.4574139217771425
58,65,-6.919023010318558
58,66,-6.720655356551724
58,67,-6.5120348726691235
58,68,-5.791236430837432
58,69,-5.9673276898931125
58,70,-5.126262806176298
58,71,-5.176587312201448
58,72,-4.3608198742118365
58,73,-4.707818131846552
58,74,-3.3971969897022567
58,75,-3.7338836222854797
58,76,-2.0626057818380708
58,77,-2.694530839806274
58,79,-2.988261596728756
58,80,16.64374076062515
58,81,-0.423579754580463
58,83,-1.050262536369064
58,84,16.69925808847498
58,85,-2.423477212224769
58,86,-0.10758517173296112
58,87,-5.242088860957881
58,88,-4.5906434068798205
58,89,-5.747527502952026
58,90,-5.7444582712243495
58,91,-6.774530737334579
58,92,-6.896746615607405
58,93,-7.253293939121218
58,94,-7.35267857125713
58,95,-7.561790499470554
58,96,-7.640269409365729
58,97,-8.00326226938892
58,98,-8.13145068590935
58,99,-8.243534101832061
58,100,-8.503171412337817
59,62,-9.498806606935368
59,65,-7.419625360887744
59,66,-6.980292667057481
59,67,-7.001876958862153
59,68,-6.875557316537468
59,69,-7.045488266888331
59,70,-6.021685352215705
59,71,-5.896746615607405
59,72,-5.541678409258555
59,73,-5.5165353738958
59,74,-4.907741999908869
59,75,-4.490206435173451
59,76,-4.3404441148401185
59,77,-4.60338406089596
59,78,-3.8352941365202122
59,79,-5.55928735431675
59,80,-3.2980655167002424
59,81,-5.190455658348642
59,83,-2.6610162182279993
59,84,-1.4297130167967376
59,85,-4.4831116184088495
59,86,-3.1655125213116757
59,87,-4.338818556553381
59,88,-4.593550558186917
59,89,-5.3608198742118365
59,90,-5.366546917404324
59,91,-6.70711595791525
59,92,-6.222344802762124
59,93,-6.946138390823175
59,94,-6.866349314750644
59,95,-7.137078770917775
59,96,-7.331489272187192
59,97,-7.851423636820749
59,98,-8.028984590957204
59,99,-8.241128032066184
59,100,-8.38486325462853
59,101,-8.268357685557094
60,65,-7.685893250292512
60,67,-7.243534101832062
60,68,-6.799836602599349
60,69,-6.672731804234542
60,70,-6.384863254628531
60,71,-6.09397289031543
60,72,-5.5256787533356695
60,73,-5.653708566921111
60,74,-4.791236430837432
60,75,-4.627233671389489
60,76,-4.016075906855425
60,77,-4.135194627043224
60,78,-3.2400735697225556
60,79,-4.247898907234512
60,80,-2.034662963585136
60,81,-3.546304759072344
60,84,15.36012356647885
60,87,-1.5216905243424015
60,89,-3.704960368025206
60,90,18.959329476460056
60,91,-4.625834976196924
60,92,-4.663750505215252
60,93,-5.999119524316964
60,94,-6.085506842854116
60,95,-6.5494166002904555
60,96,-6.7778208627816285
60,97,-7.438108766581756
60,98,-7.584992754551651
60,99,-7.813064868333105
60,100,-7.855353930449181
60,101,-8.156383926113161
60,102,-8.007444913101095
61,67,-7.498806606935368
61,68,-7.118595365223762
61,69,-7.08383325896455
61,70,-6.699466057481787
61,71,-6.706414917437114
61,72,-6.368472838440362
61,73,-6.799836602599349
61,74,-5.808610526906854
61,75,-5.021685352215705
61,76,-5.3404441148401185
61,77,-6.498806606935368
61,78,-5.1026072598396315
61,79,-6.535018779589813
61,80,-4.400509070440671
61,81,-5.8913515837207
61,82,-0.13904699051966685
61,83,-0.0023862394203621774
61,84,1.2482613505007687
61,85,0.7430132154436604
61,86,0.4191525983466906
61,87,-1.832480357295539
61,88,-2.2175731919756827
61,89,-3.5114621608321954
61,90,-2.489185766121043
61,91,-5.1057581405185894
61,92,-5.000496053145768
61,93,-5.2925205625229355
61,94,-5.880758510223275
61,95,-6.072295345570793
61,96,-6.4751426887375745
61,97,-6.817565369559781
61,98,-7.3227153478796865
61,99,-7.635483746814912
61,100,-7.4776173078654296
61,101,-7.699466057481787
61,102,-7.865338151355782
62,67,-7.758443917441124
62,69,-7.419625360887744
62,70,-6.896746615607405
62,71,-7.0379087641788205
62,72,-6.52108300164652
62,73,-6.485969382230196
62,74,-5.826708748999651
62,75,-5.845594093160024
62,76,-5.229293662717452
62,77,-5.31072223322043
62,78,-4.549807152908415
62,79,-4.712055184789807
62,80,-3.8603772567994894
62,81,-4.778647303529411
62,83,-0.030813947414219608
62,84,7.8327969968451985
62,85,11.025593949403733
62,86,15.845386124153219
62,89,1.954530593578287
62,91,-2.277073221254414
62,93,-4.374693814738583
62,94,-2.9693762525683822
62,95,-4.815939811273044
62,96,-4.996379486950936
62,97,-6.443046142247633
62,98,-6.5165353738958
62,99,-6.817565369559781
62,100,-7.118595365223762
62,101,-7.40890149549597
62,102,-7.343470569470306
62,103,-7.507580531242873
62,104,-7.595716619943424
63,67,-10.544564097496043
63,68,-9.248386604626473
63,71,-7.799836602599349
63,72,-7.3227153478796865
63,73,-6.980292667057481
63,74,-6.457413921777143
63,75,-6.416021236618918
63,76,-6.2459535759554745
63,77,-7.319829659642198
63,78,-5.8892121977101475
63,79,-7.129590749525225
63,80,-5.307355592470472
63,81,-6.490206435173451
63,82,-1.789238171092212
63,83,-1.8985919390668264
63,84,-1.1802758218816063
63,85,-0.8258963621798323
63,86,-0.5933431834751322
63,87,1.5673144502980225
63,88,18.230737005517238
63,89,1.1311683979326137
63,91,0.934837031805109
63,92,0.6772558984337206
63,93,-1.3807350905936884
63,94,-2.761232334608619
63,95,-4.058842671014463
63,96,-4.462976781682539
63,97,-5.919023010318558
63,98,-6.08383325896455
63,99,-6.473500741670597
63,100,-6.612315881762886
63,101,-6.880758510223275
63,102,-7.137078770917775
63,103,-7.268357685557094
63,104,-7.384863254628531
63,105,-8.197776611271387
64,71,-7.4574139217771425
64,72,-14.197776611271387
64,73,-7.156383926113162
64,74,-6.826708748999651
64,75,-6.735378613372431
64,76,-6.300149519980946
64,77,-6.35267857125713
64,78,-5.652469494805563
64,79,-5.907741999908869
64,80,-5.070347833419788
64,81,-4.358927520534132
64,82,-0.8786155656377828
64,83,-2.362035322217079
64,84,1.8521576848687284
64,85,-1.5947448882376127
64,86,6.253141115118855
64,87,-0.4692215580804112
64,88,14.033711839625912
64,89,-0.1813584011257728
64,95,-2.675825640703512
64,97,-5.157174271157314
64,98,-4.796376070489843
64,99,-5.666297694229132
64,100,-5.845594093160024
64,101,-6.485969382230196
64,102,-6.817565369559781
64,103,-6.869397007832649
64,104,-7.017363978433063
64,105,-7.623745343543668
64,106,-7.886022750215632
65,70,-10.525678753335669
65,73,-14.197776611271387
65,74,-7.294686624279443
65,75,-7.13897112459548
65,76,-6.954738562585092
65,77,-7.722832275805999
65,78,-6.419625360887744
65,79,-7.498806606935368
65,81,-6.595716619943424
65,82,-3.7276602581203826
65,83,-3.9425041061680806
65,84,-3.327817763886068
65,85,-3.4009248622215
65,86,-2.696769412711495
65,87,-2.699466057481786
65,88,-2.1930770070463317
65,89,-2.6100656462524756
65,90,-1.8363812321614266
65,91,-1.8339390824352462
65,92,1.8515464328580373
65,93,2.2555605892422683
65,95,-0.7031545671619439
65,96,-1.7240736425488488
65,97,-4.839841764270933
65,98,-4.430620745189207
65,99,-5.243534101832062
65,100,-5.396372901254032
65,101,-6.099132885454329
65,102,-6.211004877005142
65,103,-6.584992754551651
65,104,-6.791236430837432
65,105,-7.5165353738958
65,106,-7.405384921773133
65,107,-7.6179930146545765
66,73,-7.720655356551724
66,75,-7.5445640974960435
66,76,-7.137078770917775
66,77,-6.750618579929168
66,78,-6.539765214614275
66,79,-6.720655356551724
66,80,-5.977668523231332
66,81,-5.672731804234542
66,82,-5.202141416673837
66,83,-5.097406066153824
66,84,-4.865136200883924
66,85,-4.4678023255718315
66,86,-3.5659271491115687
66,87,-3.1363241321841935
66,88,6.4774093388586245
66,89,-2.946868911570531
66,91,-3.0318797012788794
66,93,-0.4027256712228544
66,99,-3.5747755600811044
66,100,-2.0308139474142197
66,101,-4.9282636670534705
66,102,-4.781136103933106
66,103,-5.907741999908869
66,104,-5.758443917441124
66,105,-6.886022750215632
66,106,-14.294686624279443
66,107,-7.343470569470306
66,108,-14.294686624279443
67,73,-9.720655356551724
67,74,-9.886022750215632
67,75,-7.896746615607405
67,77,-7.653708566921111
67,78,-7.118595365223762
67,79,-6.977668523231332
67,80,-6.735378613372431
67,81,-7.156383926113162
67,82,-6.174524151637676
67,83,-5.6414741105041
67,84,-5.952263943457237
67,85,-5.289828089659115
67,86,-5.417459299131235
67,87,-4.650248034811605
67,88,-4.039414119176137
67,89,-3.972467329545524
67,90,-4.6202848114341615
67,91,-4.667576913068305
67,92,-4.2014838927300655
67,93,-4.312415391239875
67,94,-3.5480524253418646
67,95,-4.5445640974960435
67,96,3.6602042842088123
67,97,-4.261262868792493
67,99,-2.513980565747317
67,100,-3.451142412333808
67,101,-5.244984168227295
67,102,-5.046713357917636
67,103,-5.279746274486507
67,104,-5.774530737334579
67,105,-6.10086659826333
67,106,-6.659957516198113
67,107,-6.993656628615462
67,108,-7.220053005982539
67,109,-14.294686624279443
68,76,-14.197776611271387
68,78,-7.268357685557094
68,79,-7.10086659826333
68,80,-6.836048775253794
68,81,-6.896746615607405
68,82,-6.231634878532354
68,83,-6.127738744663632
68,84,-6.485969382230196
68,85,-5.929432697320322
68,86,-5.148946524743037
68,87,-4.996379486950936
68,88,-4.430620745189207
68,89,-4.449976520407018
68,90,-3.5826686238281926
68,91,-4.164352855784437
68,92,-2.4864418817131293
68,93,-3.4359990737632087
68,95,-3.8455940931600243
68,97,-2.9271443507588666
68,101,-1.5895347805529354
68,103,-3.0665173347395926
68,104,-2.249657186890851
68,105,-5.574527320873487
68,106,-5.215505378231819
68,107,-5.6414741105041
68,108,-14.294686624279443
68,110,-14.294686624279443
69,75,-13.220053005982539
69,76,-12.997747344717617
69,77,-8.666297694229131
69,78,-7.735378613372431
69,79,-7.653708566921111
69,80,-7.5445640974960435
69,81,-7.156383926113162
69,82,-6.87867055196161
69,83,-6.595716619943424
69,84,-7.32854489154041
69,85,-6.590321588056718
69,86,-6.164352855784437
69,87,-5.575562588305091
69,88,-5.1607487315156115
69,89,-5.120772284478036
69,90,-4.760184579017426
69,91,-4.747527502952026
69,92,-4.240648413594574
69,93,-4.384195622703195
69,94,-3.684825531298896
69,95,-5.430620745189207
69,96,-2.4645151299171912
69,97,-3.0560133809955987
69,98,-1.5961511317174422
69,99,-0.5933431834751322
69,101,-0.4530518958682715
69,102,0.2835893128425117
69,103,-2.1390469905196667
69,104,-3.026576894470965
69,105,-4.988261596728756
69,106,-4.538811768606952
69,107,-5.441901755598895
69,108,-5.52108300164652
69,109,-14.021685352215705
69,110,-14.294686624279443
69,111,-14.021685352215705
69,112,-14.294686624279443
70,79,-7.653708566921111
70,80,-14.197776611271387
70,81,-7.294686624279443
70,82,-7.017363978433063
70,83,-6.875557316537468
70,84,-7.887083298928026
70,85,-7.245226317373185
70,86,-6.082166099597087
70,87,-5.912219302263613
70,88,-5.54746908813945
70,89,-5.497938885404141
70,90,-5.039414119176137
70,91,-5.097406066153824
70,92,-4.444883456386793
70,93,-4.677293078530595
70,94,-3.840986150919671
70,95,-4.725020161954174
70,96,-2.188921047275174
70,97,-4.4776173078654296
70,99,-1.0568986641714881
70,105,-1.940597402127196
70,107,-3.6612434191130676
70,108,-3.851423636820748
70,109,-4.817565369559781
70,110,-5.3404441148401185
70,111,-14.294686624279443
70,112,-14.294686624279443
70,113,-14.152453632484729
70,114,-14.294686624279443
70,115,-14.294686624279443
71,79,-8.845594093160024
71,80,-8.592471565130277
71,81,-7.653708566921111
71,82,-7.5445640974960435
71,84,-8.666297694229131
71,85,-7.805079658011721
71,86,-6.666297694229132
71,87,-6.473500741670597
71,88,-6.416021236618918
71,89,-5.94129940502971
71,90,-5.612315881762886
71,91,-5.583934789395317
71,92,-5.12186484978861
71,93,-5.22372570847851
71,94,-4.689651075188188
71,95,-5.297409482614917
71,96,-4.008848127510533
71,97,-4.980292667057481
71,98,-2.4102594625414984
71,99,-2.258664888072585
71,100,-1.6459968698933438
71,101,-1.7362180617556482
71,102,0.13700865129536885
71,103,0.5201160779146808
71,105,10.575475929066624
71,106,-1.739843631194401
71,107,-4.267337016504687
71,108,-3.2806914206308195
71,109,-4.964780500879233
71,110,-5.176587312201448
71,111,-5.419625360887744
71,112,-5.735378613372431
71,113,-6.220053005982539
71,114,-14.294686624279443
71,115,-14.294686624279443
71,116,-14.294686624279443
72,82,-7.197776611271387
72,83,-7.572979032310625
72,84,-9.137078770917775
72,85,-8.438108766581756
72,86,-7.043961746926858
72,87,-6.750618579929168
72,88,-6.365267698565151
72,89,-6.233988783925832
72,90,-5.903310385109794
72,91,-5.896746615607405
72,92,-5.45348362814871
72,93,-5.6179930146545765
72,94,-4.89006668786658
72,95,-5.40890149549597
72,96,-4.306517994367248
72,97,-5.210110346345112
72,98,-2.738112774248781
72,99,-2.8597187358516307
72,100,0.27212969067546106
72,101,-2.5695921031979743
72,102,15.301318079802943
72,103,-0.7171948244422179
72,109,-0.9350294478882537
72,110,6.949678090783875
72,111,-3.934756328167341
72,112,-3.327606890134946
72,113,-5.176587312201448
72,114,-5.305682008580907
73,82,-10.036408609036412
73,83,-8.473500741670598
73,84,-9.494485233152725
73,85,-8.758443917441124
73,86,-7.579728514559294
73,87,-7.308474908765077
73,89,-6.946138390823175
73,90,-6.473500741670597
73,91,-6.346518262552311
73,92,-6.007444913101096
73,93,-5.962248164363838
73,94,-5.595716619943424
73,95,-5.419625360887744
73,96,-5.030459276523211
73,97,-4.8907086606100885
73,99,-4.154807537878207
73,100,-3.4455744580948657
73,101,-3.8855992548316083
73,102,-2.9213148070981427
73,103,-3.0345555845558083
73,104,-2.191533121730762
73,105,-3.5695921031979743
73,106,0.2603594721240369
73,107,-3.0311333990519427
73,109,-0.5025780189100525
73,110,-1.8547226883585384
73,111,-3.0029848535494623
73,112,-4.026928407628078
73,113,-4.699466057481787
73,115,-6.206550535578892
73,117,-6.774530737334579
73,118,-14.021685352215705
73,119,-7.156383926113162
73,121,-14.294686624279443
74,83,-8.059473913105105
74,84,-10.401896593927312
74,85,-9.635483746814913
74,86,-8.539765214614274
74,87,-7.887083298928026
74,88,-7.423259645542838
74,89,-7.072295345570793
74,90,-6.699466057481787
74,91,-6.791236430837432
74,92,-6.215505378231819
74,93,-6.1999535305256614
74,94,-5.7920888245986095
74,95,-5.629574887204392
74,96,-5.336839990571293
74,97,-5.344078399495213
74,98,-4.901111421009856
74,99,-4.839841764270933
74,100,-4.199517272847688
74,101,-4.174112693073593
74,102,-3.544564097496043
74,103,-3.598767371448043
74,104,-1.2278391133055437
74,105,-4.151867144236378
74,106,18.25556058924227
74,107,-0.47879024462620734
74,109,20.82636288683979
74,111,-0.6866529274523063
74,113,-2.5622928644564746
74,114,-0.7185618993443826
74,115,-4.656197367324806
74,116,-4.243534101832062
74,120,-14.021685352215705
74,121,-14.294686624279443
74,122,-14.294686624279443
74,123,-14.294686624279443
75,85,-10.584992754551651
75,86,-10.85535393044918
75,87,-8.469422829250158
75,88,-7.907741999908869
75,89,-7.653708566921111
75,90,-7.294686624279443
75,91,-7.146624088824005
75,92,-6.727954595293224
75,93,-6.855353930449181
75,94,-6.590321588056718
75,95,-6.535018779589813
75,96,-6.316963018990595
75,97,-6.3227153478796865
75,98,-5.423990166290193
75,99,-5.3404441148401185
75,100,-4.950540061764623
75,101,-4.996379486950936
75,102,-4.574527320873487
75,103,-4.600081425345874
75,104,-4.430620745189207
75,105,-5.3297202494483455
75,106,-2.643651029758374
75,107,-2.1349690780992274
75,108,-0.7171948244422179
75,109,-1.013289602430687
75,111,-1.9919484378456445
75,112,10.636775980492327
75,113,-2.7119274698993396
75,114,-2.5568978325697684
75,115,-5.243534101832062
75,116,-4.72942928085923
75,117,-6.294686624279443
75,119,-6.799836602599349
75,120,-6.720655356551724
75,121,-7.021685352215705
75,122,-14.294686624279443
75,123,-14.294686624279443
75,124,-14.294686624279443
76,85,-10.69262663295148
76,86,-10.176587312201448
76,87,-9.758443917441124
76,88,-9.176587312201448
76,89,-8.647548258216293
76,90,-8.17042700349663
76,91,-7.590321588056718
76,92,-7.176587312201448
76,93,-6.963512486892597
76,94,-6.6313391190763165
76,95,-6.579728514559294
76,96,-6.215505378231819
76,97,-6.1485585886012055
76,98,-5.855353930449181
76,99,-5.574527320873487
76,100,-5.164352855784437
76,101,-5.243534101832062
76,102,-5.021685352215705
76,103,-4.907741999908869
76,104,-4.388216896636119
76,105,-3.699466057481786
76,106,-2.603251472135381
76,107,-2.828560753861244
76,108,13.748476111145163
76,109,-0.5910170157183695
76,110,15.301318079802943
76,115,-1.3747721436200115
76,117,-2.467850852806018
76,118,0.7784393345226057
76,119,-4.907741999908869
76,120,-4.177829929592544
76,121,-5.273497325209505
76,123,-6.799836602599349
76,124,-6.720655356551724
76,125,-14.294686624279443
76,126,-14.294686624279443
76,127,-14.294686624279443
77,88,-13.498806606935368
77,89,-9.47761730786543
77,90,-8.952263943457236
77,91,-8.152453632484729
77,92,-7.9510319015475455
77,93,-7.55928735431675
77,94,-6.993656628615462
77,95,-6.855353930449181
77,96,-6.5445640974960435
77,97,-6.601179515644927
77,98,-6.5445640974960435
77,99,-6.55928735431675
77,100,-6.0245903428591125
77,101,-6.419625360887744
77,102,-5.601179515644927
77,103,-5.5445640974960435
77,104,-5.030459276523211
77,105,-4.5445640974960435
77,106,-3.957227362988787
77,107,-3.452545626743246
77,108,-2.7841416140728312
77,109,-2.7213507842133757
77,110,-2.9213148070981427
77,111,-2.324456009455988
77,112,-1.4417189332506248
77,113,-1.4911475740053919
77,115,-0.6940658784317222
77,117,-2.657397076601269
77,118,-3.5826686238281926
77,119,-5.782803263300569
77,120,-4.957227362988787
77,121,-6.595716619943424
77,122,-6.720655356551724
77,123,-14.021685352215705
77,124,-14.021685352215705
77,125,-6.457413921777143
77,126,-14.294686624279443
77,127,-14.294686624279443
78,88,-11.021685352215705
78,89,-10.653708566921111
78,90,-10.193455237488743
78,91,-9.653708566921111
78,92,-9.358927520534131
78,93,-8.840795210278255
78,94,-8.509356789268676
78,95,-7.916743244023659
78,96,-7.5499048459651545
