z,n,hl
23,37,-8.41244677626062
23,38,-8.814859476183855
23,39,-8.972467329545523
23,40,-9.268357685557094
23,41,-9.322715347879686
23,42,-13.94250410616808
23,43,-13.94250410616808
23,44,-13.706414917437113
24,18,-9.374954965968282
24,19,-9.172470746006617
24,20,-8.867362837922196
24,21,-8.714189314302493
24,22,-8.08383325896455
24,23,-7.799836602599349
24,24,-2.6088553496533797
24,25,-4.094314989176682
24,26,18.1142314364458
24,27,-1.1197503859150704
24,31,-5.176959724242479
24,32,-4.94686891157053
24,33,-6.174524151637676
24,34,-6.653708566921111
24,35,-7.629574887204392
24,36,-7.808610526906854
24,37,-8.129590749525224
24,38,-8.184939386566215
24,39,-8.38821689663612
24,40,-8.86533815135578
24,41,-9.06744284277638
24,42,-9.118595365223761
24,44,-13.94250410616808
24,45,-13.706414917437113
24,46,-13.706414917437113
25,19,-14.47761730786543
25,21,-8.940098036402203
25,22,-8.498806606935368
25,23,-8.29987473700316
25,24,-7.916743244023659
25,25,-8.046728693445521
25,26,-4.056013380995599
25,27,-1.8148033721978019
25,28,6.568489808205957
25,29,-0.06785996573007601
25,31,-3.5310696040030765
25,32,-5.5673487362463625
25,33,-7.021685352215705
25,34,-6.836993921398107
25,35,-8.051648575593148
25,36,-7.648160371752302
25,37,-8.535018779589812
25,38,-8.059473913105105
25,39,-8.544564097496043
25,40,-8.535018779589812
25,41,-8.685893250292512
25,42,-8.82670874899965
25,43,-9.051648575593148
25,44,-9.294686624279443
25,45,-9.199953530525661
25,46,-13.694667174600017
25,47,-13.706414917437113
26,19,-10.222344802762123
26,20,-9.38486325462853
26,21,-9.160350113330763
26,22,-8.85535393044918
26,23,-8.687902326266668
26,24,-8.316963018990595
26,25,-8.014506767588582
26,26,-3.024736103720324
26,27,-4.790725796467137
26,29,0.4386721911736762
26,33,-0.9140304587084302
26,34,6.418589375458708
26,35,-4.943954172563314
26,36,-5.666297694229132
26,37,-6.713476771924601
26,38,-7.197776611271387
26,39,-7.590321588056718
26,40,-7.855353930449181
26,41,-7.720655356551724
26,42,-8.224648757671687
26,43,-8.457413921777142
26,44,-8.685893250292512
26,45,-9.051648575593148
26,46,-14.322715347879686
26,47,-9.38821689663612
26,48,-9.584992754551651
26,49,-13.706414917437113
27,23,-8.90997488134116
27,24,-8.661218168699858
27,25,-8.481773267636587
27,26,-8.118595365223761
27,27,-8.21261968999433
27,28,-2.6987221900742857
27,29,-0.6744730905830698
27,30,-0.12813929338987387
27,31,-0.7118917164593163
27,33,0.7222010349007594
27,34,-3.725283450523562
27,35,-5.533134635715261
27,36,-6.06105604411498
27,37,-8.021685352215705
27,38,-7.43434861770845
27,39,-8.197776611271387
27,40,-7.870417676885056
27,41,-8.197776611271387
27,42,-8.142780749742245
27,43,-8.449588584265186
27,44,-8.595716619943424
27,45,-8.721379784546057
27,46,-8.889212197710147
27,47,-9.00326226938892
27,48,-9.021685352215705
27,49,-9.162346873086838
27,50,-9.38486325462853
28,20,-10.176587312201448
28,21,-9.623745343543668
28,22,-9.231634878532354
28,23,-9.122229649878856
28,24,-8.888146443845487
28,25,-8.756867529206168
28,26,-8.441140503025538
28,27,-8.187688764272862
28,28,-1.7787465821861248
28,29,-2.3910541081952057
28,31,4.881101676419753
28,35,2.0054685966427424
28,37,-3.541534626942425
28,38,-2.2053114634633433
