time,abs_intensity
3.143,502652
3.145,503590
3.147,504253
3.148,503187
3.15,500184
3.152,499637
3.153,496618
3.155,500093
3.157,495888
3.158,506124
3.16,502139
3.162,503020
3.163,503951
3.165,496503
3.167,498574
3.168,497650
3.17,502465
3.172,501167
3.173,499305
3.175,502416
3.177,500697
3.178,497115
3.18,501285
3.182,502807
3.183,499849
3.185,501444
3.187,505668
3.188,500467
3.19,506116
3.192,495918
3.193,496469
3.195,500355
3.197,494703
3.198,497100
3.2,500614
3.202,499765
3.203,503802
3.205,500869
3.207,499008
3.208,498479
3.21,505832
3.212,506146
3.213,495023
3.215,497216
3.217,496299
3.218,494793
3.22,492162
3.222,498930
3.223,494563
3.225,502700
3.227,502793
3.228,500130
3.23,497799
3.232,503697
3.233,494133
3.235,498929
3.237,501520
3.238,498555
3.24,497050
3.242,497953
3.243,497718
3.245,497888
3.247,494934
3.248,501020
3.25,500644
3.252,497593
3.253,493944
3.255,500080
3.257,500721
3.258,493832
3.26,497916
3.262,496202
3.263,494676
3.265,500765
3.267,497540
3.268,498094
3.27,495340
3.272,491324
3.273,496937
3.275,501267
3.277,490869
3.278,498227
3.28,493934
3.282,501423
3.283,495140
3.285,500632
3.287,499237
3.288,498905
3.29,501661
3.292,502423
3.293,503224
3.295,507590
3.297,511137
3.298,507379
3.3,500713
3.302,501151
3.303,500647
3.305,496811
3.307,502595
3.308,496985
3.31,496626
3.312,499541
3.313,503767
3.315,503992
3.317,495706
3.318,495240
3.32,496820
3.322,497860
3.323,495230
3.325,493366
3.327,492779
3.328,502196
3.33,498514
3.332,495399
3.333,497576
3.335,494861
3.337,488472
3.338,499265
3.34,503290
3.342,489816
3.343,499791
3.345,500422
3.347,492528
3.348,494110
3.35,496901
3.352,496814
3.353,496040
3.355,497391
3.357,492018
3.358,493618
3.36,495570
3.362,494384
3.363,496569
3.365,493101
3.367,493238
3.368,501730
3.37,494837
3.372,491139
3.373,499440
3.375,500208
3.377,501083
3.378,493994
3.38,495039
3.382,498860
3.383,492119
3.385,498247
3.387,490970
3.388,496776
3.39,498905
3.392,492233
3.393,494093
3.395,490441
3.397,495382
3.398,492755
3.4,497082
3.402,492900
3.403,495343
3.405,500362
3.407,490739
3.408,499206
3.41,497583
3.412,499040
3.413,498983
3.415,497842
3.417,496837
3.418,496817
3.42,500488
3.422,492039
3.423,490193
3.425,494271
3.427,497653
3.428,495367
3.43,496288
3.432,490712
3.433,497374
3.435,498624
3.437,491271
3.438,489266
3.44,495930
3.442,493792
3.443,496548
3.445,490623
3.447,491376
3.448,495392
3.45,489981
3.452,497510
3.453,497998
3.455,498645
3.457,493489
3.458,498943
3.46,491038
3.462,491977
3.463,494967
3.465,499277
3.467,496128
3.468,491447
3.47,488495
3.472,495290
3.473,498065
3.475,493976
3.477,495400
3.478,489581
3.48,488273
3.482,497594
3.483,495823
3.485,492280
3.487,498084
3.488,497941
3.49,495183
3.492,494584
3.493,496254
3.495,498016
3.497,492010
3.498,497259
3.5,493172
3.502,492834
3.503,494037
3.505,488043
3.507,489337
3.508,493697
3.51,498475
3.512,490918
3.513,495308
3.515,493922
3.517,493234
3.518,488317
3.52,490079
3.522,498436
3.523,487546
3.525,494712
3.527,491883
3.528,498702
3.53,496321
3.532,491045
3.533,495896
3.535,492587
3.537,493181
3.538,489999
3.54,491810
3.542,495998
3.543,491525
3.545,492850
3.547,488685
3.548,492132
3.55,491865
3.552,492386
3.553,497631
3.555,488782
3.557,492709
3.558,493397
3.56,492050
3.562,493279
3.563,494712
3.565,494050
3.567,500540
3.568,500187
3.57,493093
3.572,496691
3.573,491063
3.575,491231
3.577,493634
3.578,498087
3.58,492899
3.582,483370
3.583,494907
3.585,491355
3.587,491967
3.588,498125
3.59,491516
3.592,491521
3.593,488399
3.595,493692
3.597,498695
3.598,494064
3.6,492515
3.602,490798
3.603,491375
3.605,494157
3.607,489569
3.608,494397
3.61,491681
3.612,493595
3.613,495357
3.615,497874
3.617,495818
3.618,492500
3.62,498251
3.622,499270
3.623,494182
3.625,490207
3.627,495447
3.628,489174
3.63,491887
3.632,489210
3.633,500628
3.635,488263
3.637,487851
3.638,493749
3.64,491328
3.642,494700
3.643,484077
3.645,496689
3.647,494718
3.648,494111
3.65,499177
3.652,499213
3.653,489604
3.655,495731
3.657,493753
3.658,494677
3.66,488442
3.662,498791
3.663,495838
3.665,486973
3.667,494482
3.668,491362
3.67,489225
3.672,489593
3.673,487539
3.675,493244
3.677,487152
3.678,492061
3.68,492922
3.682,491396
3.683,498723
3.685,486901
3.687,494625
3.688,503357
3.69,491809
3.692,491070
3.693,488389
3.695,490758
3.697,490609
3.698,491153
3.7,492192
3.702,497420
3.703,493208
3.705,494188
3.707,488881
3.708,488352
3.71,492889
3.712,490927
3.713,495387
3.715,493045
3.717,491803
