temp,lambda,intensity
2000,1.72731515151515E-06,121979551194.368
2000,1.75761717171717E-06,120290316345.368
2000,1.78791919191919E-06,118517293092.209
2000,1.81822121212121E-06,116673211868.42
2000,1.84852323232323E-06,114769766395.272
2000,1.87882525252525E-06,112817662526.13
2000,1.90912727272727E-06,110826670209.642
2000,1.93942929292929E-06,108805677179.707
2000,1.96973131313131E-06,106762743256.323
2000,2.00003333333333E-06,104705154374.974
2000,2.03033535353535E-06,102639475658.427
2000,2.06063737373737E-06,100571603008.508
2000,2.09093939393939E-06,98506812830.929
2000,2.12124141414141E-06,96449809617.714
2000,2.15154343434343E-06,94404771202.55
2000,2.18184545454545E-06,92375391577.8433
2000,2.21214747474747E-06,90364921220.9202
2000,2.24244949494949E-06,88376204923.2143
2000,2.27275151515152E-06,86411717152.3835
2000,2.30305353535354E-06,84473595004.9157
2000,2.33335555555556E-06,82563668827.3716
2000,2.36365757575758E-06,80683490599.2884
2000,2.3939595959596E-06,78834360180.9715
2000,2.42426161616162E-06,77017349535.8535
2000,2.45456363636364E-06,75233325040.5563
2000,2.48486565656566E-06,73482967996.8741
2000,2.51516767676768E-06,71766793459.1348
2000,2.5454696969697E-06,70085167488.2145
2000,2.57577171717172E-06,68438322940.2411
2000,2.60607373737374E-06,66826373894.0027
2000,2.63637575757576E-06,65249328816.5201
2000,2.66667777777778E-06,63707102561.328
2000,2.6969797979798E-06,62199527288.901
2000,2.72728181818182E-06,60726362393.4551
2000,2.75758383838384E-06,59287303515.1735
2000,2.78788585858586E-06,57881990711.789
2000,2.81818787878788E-06,56510015858.4836
2000,2.8484898989899E-06,55170929340.2614
2000,2.87879191919192E-06,53864246096.3487
2000,2.90909393939394E-06,52589451071.7924
2000,2.93939595959596E-06,51346004127.2765
2000,2.96969797979798E-06,50133344454.2611
2000,3E-06,48950894538.8674
3000,1E-10,0
3000,3.04020202020202E-08,1.31964310962101E-47
3000,6.07040404040404E-08,6.80611381718877E-15
3000,9.10060606060606E-08,0.00024175306947
3000,1.21308080808081E-07,30.1199425158808
3000,1.51610101010101E-07,26786.6664891393
3000,1.81912121212121E-07,2097577.30887114
3000,2.12214141414141E-07,41956209.0527696
3000,2.42516161616162E-07,362964613.646438
3000,2.72818181818182E-07,1813662880.68367
3000,3.03120202020202E-07,6214354683.50796
3000,3.33422222222222E-07,16265224552.69
3000,3.63724242424242E-07,34916913158.5593
3000,3.94026262626263E-07,64543813251.1127
3000,4.24328282828283E-07,106323723648.453
3000,4.54630303030303E-07,160017530237.77
3000,4.84932323232323E-07,224115570339.172
3000,5.15234343434344E-07,296203475990.821
3000,5.45536363636364E-07,373393390291.464
3000,5.75838383838384E-07,452712573240.09
