nm,blue_1,green_3,yellow_6,red_40,mix_1,mix_2,mix_3
577,0.25,0.53,0.02,0,0.16,0.07,0.07
578,0.24,0.54,0.01,0,0.15,0.06,0.06
579,0.25,0.55,0.01,0,0.16,0.06,0.06
580,0.26,0.57,0.01,0,0.16,0.06,0.06
581,0.26,0.57,0.01,0,0.16,0.06,0.05
582,0.27,0.59,0.01,0,0.16,0.06,0.06
583,0.27,0.6,0.01,0,0.16,0.06,0.06
584,0.28,0.62,0.01,0,0.17,0.06,0.05
585,0.28,0.62,0.01,0,0.17,0.06,0.05
586,0.29,0.64,0.01,0,0.17,0.06,0.06
587,0.29,0.66,0.01,0,0.17,0.06,0.05
588,0.3,0.67,0.01,0,0.17,0.06,0.05
589,0.31,0.69,0.02,0,0.19,0.07,0.06
590,0.32,0.71,0.01,0,0.18,0.06,0.05
591,0.32,0.73,0.01,0,0.19,0.07,0.05
592,0.33,0.74,0.01,0,0.19,0.07,0.05
593,0.33,0.77,0.01,0,0.19,0.06,0.05
594,0.34,0.79,0.01,0,0.19,0.06,0.05
595,0.35,0.81,0.01,0,0.2,0.07,0.05
596,0.36,0.84,0.01,0,0.21,0.07,0.05
597,0.37,0.86,0.01,0,0.21,0.07,0.05
598,0.38,0.89,0.01,0,0.22,0.07,0.06
599,0.38,0.93,0.01,0,0.22,0.07,0.05
600,0.39,0.95,0.01,0,0.22,0.07,0.05
601,0.41,1,0.01,0,0.23,0.08,0.06
602,0.42,1.02,0.01,0,0.24,0.08,0.06
603,0.44,1.06,0.01,0,0.25,0.08,0.06
604,0.45,1.08,0,0,0.25,0.08,0.06
605,0.47,1.13,0.01,0,0.26,0.08,0.06
606,0.48,1.18,0.01,0,0.27,0.09,0.06
607,0.5,1.21,0.01,0,0.28,0.09,0.07
608,0.51,1.25,0,0,0.28,0.08,0.06
609,0.55,1.32,0.01,0,0.3,0.1,0.07
610,0.55,1.34,0,0,0.31,0.09,0.07
611,0.59,1.39,0.01,0,0.33,0.11,0.08
612,0.61,1.43,0.01,0,0.34,0.11,0.08
613,0.63,1.48,0.01,0,0.35,0.11,0.08
614,0.65,1.48,0.01,0,0.36,0.11,0.08
615,0.66,1.5,0,0,0.36,0.11,0.08
616,0.69,1.54,0.01,0,0.39,0.12,0.09
617,0.71,1.57,0.01,0,0.4,0.13,0.09
618,0.73,1.6,0,0,0.41,0.13,0.09
619,0.76,1.64,0.01,0,0.42,0.14,0.1
620,0.78,1.7,0.01,0,0.43,0.14,0.1
621,0.79,1.67,0.01,0,0.44,0.14,0.1
622,0.81,1.63,0.01,0,0.45,0.14,0.1
623,0.83,1.67,0,0,0.46,0.14,0.1
624,0.85,1.68,0.01,0,0.47,0.15,0.11
625,0.86,1.73,0.01,0,0.47,0.15,0.11
626,0.88,1.73,0.01,0,0.49,0.15,0.11
627,0.88,1.67,0.01,0,0.48,0.15,0.11
628,0.89,1.66,0.01,0,0.49,0.16,0.11
629,0.88,1.61,0.01,0,0.49,0.15,0.11
630,0.88,1.55,0,0,0.48,0.15,0.11
631,0.87,1.51,0.01,0,0.48,0.15,0.11
632,0.87,1.49,0.01,0,0.48,0.15,0.11
633,0.86,1.45,0.01,0,0.47,0.15,0.11
634,0.85,1.41,0.01,0,0.47,0.15,0.11
635,0.83,1.37,0,0,0.46,0.14,0.1
636,0.81,1.3,0.01,0,0.44,0.14,0.1
637,0.79,1.25,0.01,0,0.44,0.14,0.1
638,0.75,1.15,0.01,0,0.42,0.13,0.1
639,0.73,1.11,0.01,0,0.41,0.13,0.09
640,0.71,1.04,0.01,0,0.39,0.12,0.09
641,0.68,0.99,0.01,0,0.37,0.12,0.09
642,0.64,0.92,0.01,0,0.36,0.11,0.09
643,0.6,0.86,0,0,0.33,0.1,0.08
644,0.58,0.81,0,0,0.32,0.1,0.07
645,0.54,0.75,0.01,0,0.3,0.1,0.07
646,0.51,0.7,0.01,0,0.29,0.09,0.07
647,0.49,0.65,0.01,0,0.27,0.09,0.07
648,0.45,0.6,0.01,0,0.25,0.08,0.06
649,0.42,0.56,0.01,0,0.24,0.08,0.06
650,0.39,0.51,0.01,0,0.22,0.07,0.05
651,0.36,0.47,0,0,0.21,0.06,0.05
652,0.34,0.43,0.01,0,0.19,0.07,0.05
653,0.32,0.4,0.01,0,0.18,0.06,0.05
654,0.29,0.36,0.01,0,0.17,0.06,0.04
655,0.27,0.34,0.01,0,0.16,0.06,0.04
656,0.23,0.29,0,0,0.13,0.04,0.02
657,0.22,0.27,0,0,0.13,0.04,0.03
658,0.21,0.26,0.01,0,0.12,0.04,0.03
659,0.19,0.23,0.01,0,0.11,0.04,0.03
660,0.18,0.21,0.01,0,0.1,0.04,0.03
661,0.16,0.19,0.01,0,0.1,0.03,0.02
662,0.15,0.18,0.01,0,0.09,0.04,0.02
663,0.13,0.16,0,0,0.08,0.03,0.02
664,0.12,0.15,0,0,0.07,0.03,0.02
665,0.11,0.13,0.01,0,0.08,0.03,0.02
666,0.1,0.12,0,0,0.06,0.02,0.01
667,0.09,0.11,0,0,0.06,0.02,0.01
668,0.08,0.1,0,0,0.05,0.02,0.01
669,0.08,0.09,0,0,0.05,0.02,0.01
670,0.08,0.09,0.01,0,0.05,0.02,0.02
671,0.07,0.08,0.01,0,0.05,0.02,0.01
672,0.06,0.07,0,0,0.04,0.01,0.01
